xg_team,fd_team
AFC Bournemouth,Bournemouth
Arsenal,Arsenal
Aston Villa,Aston Villa
Brentford,Brentford
Brighton and Hove Albion,Brighton
Burnley,Burnley
Cardiff City,Cardiff
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Everton,Everton
Fulham,Fulham
Huddersfield Town,Huddersfield
Leeds United,Leeds
Leicester City,Leicester
Liverpool,Liverpool
Manchester City,Man City
Manchester United,Man United
Newcastle,Newcastle
Norwich City,Norwich
Sheffield United,Sheffield United
Southampton,Southampton
Tottenham Hotspur,Tottenham
Watford,Watford
West Bromwich Albion,West Brom
West Ham United,West Ham
Wolverhampton,Wolves
Nottingham Forest,Nott'm Forest
